word,condition,run,stimFile
powód,ABS,2,resources/audio/abs_run2_001.wav
zdrajca,ABS,2,resources/audio/abs_run2_002.wav
nastrój,ABS,2,resources/audio/abs_run2_003.wav
zło,ABS,2,resources/audio/abs_run2_004.wav
terror,ABS,2,resources/audio/abs_run2_005.wav
motyw,ABS,2,resources/audio/abs_run2_006.wav
okazja,ABS,2,resources/audio/abs_run2_007.wav
święta,ABS,2,resources/audio/abs_run2_008.wav
przysługa,ABS,2,resources/audio/abs_run2_009.wav
fałsz,ABS,2,resources/audio/abs_run2_010.wav
dowcip,ABS,2,resources/audio/abs_run2_011.wav
błąd,ABS,2,resources/audio/abs_run2_012.wav
szczęście,ABS,2,resources/audio/abs_run2_013.wav
anioł,ABS,2,resources/audio/abs_run2_014.wav
dług,ABS,2,resources/audio/abs_run2_015.wav
wróg,ABS,2,resources/audio/abs_run2_016.wav
moda,ABS,2,resources/audio/abs_run2_017.wav
wyzwanie,ABS,2,resources/audio/abs_run2_018.wav
rada,ABS,2,resources/audio/abs_run2_019.wav
wynajem,ABS,2,resources/audio/abs_run2_020.wav
znak,ABS,2,resources/audio/abs_run2_021.wav
plotka,ABS,2,resources/audio/abs_run2_022.wav
prędkość,ABS,2,resources/audio/abs_run2_023.wav
godzina,ABS,2,resources/audio/abs_run2_024.wav
