word,condition,run,stimFile
autobus,CON,1,resources/audio/con_run1_001.wav
cygaro,CON,1,resources/audio/con_run1_002.wav
łańcuch,CON,1,resources/audio/con_run1_003.wav
kosz,CON,1,resources/audio/con_run1_004.wav
małpa,CON,1,resources/audio/con_run1_005.wav
indyk,CON,1,resources/audio/con_run1_006.wav
koktajl,CON,1,resources/audio/con_run1_007.wav
piasek,CON,1,resources/audio/con_run1_008.wav
papier,CON,1,resources/audio/con_run1_009.wav
pudełko,CON,1,resources/audio/con_run1_010.wav
palec,CON,1,resources/audio/con_run1_011.wav
włosy,CON,1,resources/audio/con_run1_012.wav
taxi,CON,1,resources/audio/con_run1_013.wav
herbata,CON,1,resources/audio/con_run1_014.wav
wąż,CON,1,resources/audio/con_run1_015.wav
rakieta,CON,1,resources/audio/con_run1_016.wav
hamburger,CON,1,resources/audio/con_run1_017.wav
gazeta,CON,1,resources/audio/con_run1_018.wav
nadgarstek,CON,1,resources/audio/con_run1_019.wav
szpinak,CON,1,resources/audio/con_run1_020.wav
świnia,CON,1,resources/audio/con_run1_021.wav
samochód,CON,1,resources/audio/con_run1_022.wav
prysznic,CON,1,resources/audio/con_run1_023.wav
kołnierz,CON,1,resources/audio/con_run1_024.wav
